eval_dataset,codec,param,pipeline,bpp,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,time_ms
div2k_valid,JPEG,q=60,end_to_end,0.9395527058535706,33.402490774790444,0.9898392284909884,0.9813927784562111,0.07284245950480299,0.012858813007672583,0.9981647506356239,0.007701962895225671,0.6334505466123422,0.9490642125407854,0.9858419448137283,0.13053322179863847,67.10351348434561,8.058555793468258
div2k_valid,JPEG,q=85,end_to_end,1.6740742308889756,36.414261976877846,0.9959256872534752,0.9906647776563963,0.02441722142975772,0.005891906718412988,0.999449297785759,0.0021146358097514917,0.7438529630502065,0.9808829501271248,0.9975050066908201,0.09872185035298264,80.60969169747464,9.923641082423273
div2k_valid,JPEG_AI,target_bpp=0.15,end_to_end,0.1521522062061544,29.24837891260783,0.9688812444607416,0.9533494909604391,0.25381973106414074,0.05133235702912007,0.9924063310027122,0.04832643662424132,0.4853411341706912,0.8131398657957712,0.9179651985565821,0.19234220000604785,31.197932996918016,36510.41581416636
div2k_valid,JPEG_AI,target_bpp=0.25,end_to_end,0.2606636402672247,31.231663862864178,0.9794666022062302,0.9692935695250829,0.18686610429237283,0.032371347149213116,0.9962100610136986,0.02478802089657009,0.5646937427421411,0.8807324717442194,0.9622366279363632,0.16448446176946158,49.91465580301988,36392.50819904313
div2k_valid,JPEG_AI,target_bpp=0.35,end_to_end,0.35324922418297483,32.391216119130455,0.9836460575461388,0.9759468585252762,0.15047191859533385,0.023332871496677343,0.997331902384758,0.016075110043554202,0.6092283849914869,0.9112047106027603,0.9759798397620519,0.15023073709259427,58.32405969301859,35417.919067123876
div2k_valid,JPEG_AI,target_bpp=0.5,end_to_end,0.490319647779947,33.792365312576294,0.9880466386675835,0.981646882990996,0.1174972282412151,0.01842312266429261,0.9982845212022463,0.01057245106979579,0.6518727739651998,0.9375811939438184,0.9844538519779841,0.13346633687615392,66.21689497422288,36521.12280516727
div2k_valid,JPEG_AI,target_bpp=0.75,end_to_end,0.7882444698093051,36.07528336842855,0.9933352420727412,0.9884556730588278,0.06529089684287702,0.009829459091027525,0.9991601382692655,0.005222394892674204,0.7192791464428107,0.9675774524609247,0.992840530971686,0.107299362309277,76.5914491844158,36168.30997408215
div2k_valid,JPEG_AI,target_bpp=1.0,end_to_end,1.0057666901077316,37.127864837646484,0.9947708547115326,0.9907428349057833,0.04557121673133221,0.00773290048042928,0.9994047234455744,0.003396724806710404,0.7543739986916383,0.9775121435523033,0.9954298983017603,0.09704456509401398,80.24087361116973,33638.41579712304
div2k_valid,JXL,d=12.0,end_to_end,0.21175052895974475,28.66910703976949,0.967722661793232,0.9429292480150858,0.29098506396015483,0.06746268024047211,0.9913076038161913,0.0701807650427023,0.46512628470857936,0.790120375653108,0.8243328581253687,0.19343230376640952,25.655421154690774,241.76236899923728
div2k_valid,JXL,d=7.0,end_to_end,0.32593092141810015,30.443607966105144,0.9790469457705816,0.9622485190629959,0.20726496136436856,0.04566074907779689,0.9954927439490954,0.04279186887045696,0.5406699515879154,0.8581199223796526,0.905272309978803,0.16663589204351104,45.428095592203164,246.1310856657898
div2k_valid,JXL,d=3.0,end_to_end,0.6363849575061841,33.467981020609535,0.9883086358507475,0.9798165385921797,0.1053904284102221,0.017808529237906098,0.9984004696210226,0.015234615808973659,0.6497820677856604,0.9350227812925974,0.9755099390943845,0.13235195229450858,69.16401279063234,195.84919441573825
div2k_valid,JXL,d=1.0,end_to_end,1.4301347059890956,37.33885669708252,0.9944051777323087,0.9897842655579249,0.03525644878391173,0.007212631404399816,0.9995189582308134,0.0046961952951581004,0.80727702130874,0.979291153450807,0.9932533726096153,0.09944255805263912,84.6445853044185,213.6657387509331
div2k_valid,TCM,lam=0.0035,actual_bitstream,0.18294961032293675,31.7464857896169,0.9824539124965668,0.9658878693977991,0.20034724179034427,0.05444838106632228,0.9916086544593176,0.052414832481493506,0.5249926038086414,0.8517224888006846,0.8717082316676775,0.19182401895523069,33.7331083283404,528.2785359571184
div2k_valid,TCM,lam=0.013,actual_bitstream,0.36963782008357754,34.744858741760254,0.9924621159831682,0.9830232436458269,0.12661107086266077,0.026070567468802087,0.9968189919988314,0.02288525276041274,0.6274632091323534,0.926690474152565,0.9540273224314054,0.14849754671255744,58.828965667138164,538.3214925004722
kodak,Ballé,q=1,actual_bitstream,0.13129340277777776,27.581509987513225,0.8481166735291481,0.9173671330014864,0.37850209263463813,0.18228881061077115,0.9171681106090546,0.10288172370443736,0.37384314959247905,0.7304610311985016,0.6929244970281919,0.3278414333860079,-3.895796851997614,30.95250829028373
kodak,Ballé,q=3,actual_bitstream,0.3198581271701389,30.97210971514384,0.9268516848484675,0.9610564882556597,0.23046601222207144,0.10887454450130458,0.96572778125604,0.04852813994511957,0.4826601669192314,0.8628969912727674,0.8806372433900833,0.27032307970027125,34.1885036965944,27.935644208506954
kodak,Ballé,q=5,actual_bitstream,0.6686842176649305,34.52611780166626,0.9691690703233083,0.9835608452558517,0.1156437629057715,0.053668039540449734,0.9877411425113678,0.017783218606685542,0.6016757090886434,0.9414498383800188,0.9659583320220312,0.21039739561577633,62.182983228233326,29.304487457314583
kodak,Ballé,q=7,actual_bitstream,1.2591722276475694,38.583523750305176,0.9865943267941475,0.9928662826617559,0.05775224456253147,0.026112432281176202,0.995730089644591,0.006258409974786092,0.740176742275556,0.9783338854710261,0.9888623009125391,0.16302229153613246,78.75545363292863,45.67848195862704
