dataset,codec,param,image,width,height,pixels,bpp,pipeline,time_ms,energy_total_j_x,energy_net_j,params_M,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,file_bytes,time_compress_ms,time_decompress_ms,energy_compress_j,energy_decompress_j,vram_enc_mb,vram_dec_mb,note,eval_dataset,energy_pipeline,energy_per_image_j,energy_cpu_per_image_j,energy_gpu_per_image_j,energy_total_j_y,total_time_s,energy_n_images,n_repeats
kodak,Ballé,q=3,kodim10.png,512.0,768.0,393216.0,0.2098795572916666,actual_bitstream,28.05669599911198,,,5.076,32.9634895324707,0.9400553107261658,0.9672861099243164,0.2418665736913681,0.1173225045204162,0.9644216895103456,0.0463302433490753,0.5205746293067932,0.8655493855476379,0.8812148571014404,0.2664161026477813,39.32402945405981,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim11.png,768.0,512.0,393216.0,0.314453125,actual_bitstream,28.41849900141824,,,5.076,30.434589385986328,0.9102646708488464,0.9525445699691772,0.251600980758667,0.1111707091331482,0.9655126333236694,0.0557702369987964,0.4593613147735595,0.8496168255805969,0.8633923530578613,0.2829298973083496,28.44620476344157,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim12.png,768.0,512.0,393216.0,0.1814778645833333,actual_bitstream,27.727692999178544,,,5.076,32.89927291870117,0.9053997993469238,0.949468731880188,0.3011412024497986,0.1119052171707153,0.9475961923599244,0.0618677660822868,0.466920256614685,0.8617913126945496,0.8258660435676575,0.289051741361618,27.02507411936351,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim13.png,768.0,512.0,393216.0,0.6709798177083334,actual_bitstream,28.5428210045211,,,5.076,26.384323120117188,0.920957088470459,0.9572281241416932,0.279464989900589,0.1039876341819763,0.972476601600647,0.0485880076885223,0.3952372968196869,0.8523942232131958,0.925589084625244,0.2701395153999328,31.419897107039063,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim14.png,768.0,512.0,393216.0,0.4012044270833333,actual_bitstream,27.856293992954303,,,5.076,29.413875579833984,0.9135546684265136,0.9561876058578492,0.2830404639244079,0.0957883596420288,0.9660201072692872,0.0514921583235263,0.4486710131168365,0.8442643880844116,0.8818608522415161,0.277075856924057,32.39508776028285,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim15.png,768.0,512.0,393216.0,0.2097981770833333,actual_bitstream,28.08662600000389,,,5.076,31.95288848876953,0.9202079176902772,0.9588793516159058,0.2380911856889724,0.1119122505187988,0.9642974138259888,0.0483914837241172,0.4804514944553375,0.8772306442260742,0.8733952045440674,0.2701141834259033,33.311468387183695,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim16.png,768.0,512.0,393216.0,0.2220052083333333,actual_bitstream,27.69696198811289,,,5.076,31.670352935791016,0.9125901460647584,0.9536705017089844,0.2874951958656311,0.1503887176513672,0.9555843472480774,0.0562068559229373,0.4412121772766113,0.8389982581138611,0.8492577075958252,0.2838239371776581,25.022021006889872,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim17.png,512.0,768.0,393216.0,0.2218424479166666,actual_bitstream,27.279208996333185,,,5.076,32.24921417236328,0.9330291152000428,0.9657177329063416,0.2173560261726379,0.1173521280288696,0.965077579021454,0.0493253469467163,0.5219931602478027,0.8641828894615173,0.8628769516944885,0.2715172171592712,36.40827051406181,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim18.png,512.0,768.0,393216.0,0.4156901041666667,actual_bitstream,28.336867995676585,,,5.076,28.97107696533203,0.9182230830192566,0.956593930721283,0.2377198487520218,0.0984188914299011,0.966301679611206,0.0496905893087387,0.4401741027832031,0.8413248062133789,0.8994507789611816,0.2741241157054901,30.11300808569385,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim19.png,512.0,768.0,393216.0,0.2738444010416667,actual_bitstream,27.438770004664548,,,5.076,30.92129135131836,0.9167884588241576,0.9549657702445984,0.325011283159256,0.1013596057891845,0.961438775062561,0.0503488592803478,0.4863886535167694,0.8656956553459167,0.8539859056472778,0.2768105566501617,25.3697143353413,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
