image,dataset,codec,param,bpp,psnr,lpips,enc_ms,status
/home/user/tesi/datasets/clic2020/train/daniel-robert-159.png,clic_train,Neural,6.0,0.44953,37.2284,0.24522,114.1,OK
/home/user/tesi/datasets/clic2020/train/daniela-cuevas-21225.png,clic_train,JXL,7.0,0.3293,27.82,0.1625,153.58,OK
/home/user/tesi/datasets/clic2020/train/danka-peter-178.png,clic_train,JXL,3.0,0.4667,33.19,0.2614,60.15,OK
/home/user/tesi/datasets/clic2020/train/danka-peter-336.png,clic_train,JXL,12.0,0.4265,21.53,0.5034,42.96,OK
/home/user/tesi/datasets/clic2020/train/danny-froese-1052.png,clic_train,Neural,4.0,0.46153,32.4345,0.19195,7351.9,OK
/home/user/tesi/datasets/clic2020/train/davey-heuser-696.png,clic_train,Neural,6.0,0.27328,37.3699,0.16726,7353.4,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-1263.png,clic_train,Neural,4.0,0.48666,32.3399,0.21652,7389.62,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-1425.png,clic_train,Neural,2.0,0.25501,28.33,0.20544,7373.98,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-30865.png,clic_train,JPEG,60.0,0.43634,38.5575,0.1516,232.81,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-441.png,clic_train,Neural,4.0,0.38444,32.9729,0.14583,7353.45,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-4655.png,clic_train,JPEG,60.0,0.46372,39.5897,0.08053,303.08,OK
/home/user/tesi/datasets/clic2020/train/david-marcu-5437.png,clic_train,Neural,4.0,0.27961,34.2924,0.16587,7393.81,OK
/home/user/tesi/datasets/clic2020/train/davide-ragusa-2178.png,clic_train,HEVC,25.0,0.48643,34.0956,0.14904,1585.51,OK
/home/user/tesi/datasets/clic2020/train/davide-ragusa-269.png,clic_train,Neural,2.0,0.45027,24.6213,0.12849,6986.16,OK
/home/user/tesi/datasets/clic2020/train/delfi-de-la-rua-23324.png,clic_train,HEVC,25.0,0.4023,36.2585,0.19523,2219.31,OK
/home/user/tesi/datasets/clic2020/train/delfi-de-la-rua-85106.png,clic_train,JXL,3.0,0.4826,34.48,0.254,97.94,OK
/home/user/tesi/datasets/clic2020/train/desi-mendoza-451.png,clic_train,JXL,1.0,0.3538,43.81,0.1039,149.84,OK
/home/user/tesi/datasets/clic2020/train/devin-rajaram-28791.png,clic_train,JPEG,60.0,0.41938,37.1017,0.09704,295.47,OK
/home/user/tesi/datasets/clic2020/train/dietmar-becker-131.png,clic_train,JXL,7.0,0.3968,28.18,0.169,64.82,OK
/home/user/tesi/datasets/clic2020/train/dillon-mcintosh-163.png,clic_train,JXL,7.0,0.3761,26.89,0.315,19.76,OK
/home/user/tesi/datasets/clic2020/train/dino-reichmuth-84077.png,clic_train,Neural,4.0,0.39832,32.4697,0.17003,7744.93,OK
/home/user/tesi/datasets/clic2020/train/dirk-sebregts-2408.png,clic_train,JXL,3.0,0.3025,38.09,0.1296,144.45,OK
/home/user/tesi/datasets/clic2020/train/dmitri-popov-114770.png,clic_train,JXL,7.0,0.3307,30.73,0.1152,163.39,OK
/home/user/tesi/datasets/clic2020/train/dmitrii-medvedev-100580.png,clic_train,JXL,3.0,0.4456,38.07,0.1452,156.82,OK
/home/user/tesi/datasets/clic2020/train/dmitry-sytnik-25017.png,clic_train,Neural,4.0,0.38263,32.9245,0.09196,6699.85,OK
/home/user/tesi/datasets/clic2020/train/dominik-lange-35224.png,clic_train,JPEG,60.0,0.38924,38.7012,0.19426,306.81,OK
/home/user/tesi/datasets/clic2020/train/dominik-martin-100802.png,clic_train,JXL,1.0,0.4681,43.73,0.0431,149.47,OK
/home/user/tesi/datasets/clic2020/train/dominik-martin-326.png,clic_train,JXL,7.0,0.3989,28.27,0.2588,141.19,OK
/home/user/tesi/datasets/clic2020/train/dorothee-hubner-764.png,clic_train,JXL,7.0,0.335,28.92,0.1304,147.25,OK
