file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
174-84280-0002.flac,librispeech,Opus,48,48.28,4.5601,1.9092,-0.0601,91.52,OK
174-84280-0002.flac,librispeech,EnCodec,1.5,1.5,1.4844,6.7322,3.0156,31.54,OK
174-84280-0002.flac,librispeech,EnCodec,3.0,3.0,1.7767,5.6572,2.7233,25.76,OK
174-84280-0002.flac,librispeech,EnCodec,6.0,6.0,2.2955,4.9147,2.2045,25.37,OK
174-84280-0007.flac,librispeech,Opus,12,12.21,4.0059,3.1309,0.4941,69.4,OK
174-84280-0007.flac,librispeech,Opus,24,23.96,4.4885,2.2966,0.0115,69.7,OK
174-84280-0007.flac,librispeech,Opus,48,48.17,4.5518,1.9913,-0.0518,75.9,OK
174-84280-0007.flac,librispeech,EnCodec,1.5,1.5,1.6233,6.6349,2.8767,31.79,OK
174-84280-0007.flac,librispeech,EnCodec,3.0,3.0,2.1662,5.6424,2.3338,20.57,OK
174-84280-0007.flac,librispeech,EnCodec,6.0,6.0,2.8677,4.9638,1.6323,20.52,OK
174-84280-0003.flac,librispeech,Opus,12,12.12,4.0764,3.1037,0.4236,64.06,OK
174-84280-0003.flac,librispeech,Opus,24,23.66,4.517,2.1138,-0.017,61.15,OK
174-84280-0003.flac,librispeech,Opus,48,47.73,4.575,1.8052,-0.075,62.94,OK
174-84280-0003.flac,librispeech,EnCodec,1.5,1.5,1.4998,6.5291,3.0002,29.28,OK
174-84280-0003.flac,librispeech,EnCodec,3.0,3.0,2.3287,5.6824,2.1713,16.27,OK
174-84280-0003.flac,librispeech,EnCodec,6.0,6.0,3.0056,4.8907,1.4944,16.2,OK
