file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
1-30344-A-0.wav,esc50,Opus,12.0,12.83,4.1435,3.019,0.3565,33.39,OK
1-30709-A-23.wav,esc50,Opus,24.0,23.39,4.2778,2.4402,0.2222,26.7,OK
1-30709-B-23.wav,esc50,Opus,24.0,23.71,4.0846,2.2694,0.4154,24.01,OK
1-30709-C-23.wav,esc50,Opus,24.0,23.8,4.1549,2.0938,0.3451,21.28,OK
1-30830-A-24.wav,esc50,Opus,48.0,20.69,4.4883,1.1757,0.0117,16.59,OK
1-31251-A-6.wav,esc50,Opus,24.0,23.57,4.1121,3.9005,0.3879,36.48,OK
1-31251-B-6.wav,esc50,Opus,24.0,23.51,3.9481,3.9434,0.5519,36.05,OK
1-31482-A-42.wav,esc50,Opus,12.0,13.13,3.3726,4.1358,1.1274,33.82,OK
1-31482-B-42.wav,esc50,DAC,8.0,8.0,4.4776,2.041,0.0224,16.7,OK
1-31748-A-21.wav,esc50,Opus,24.0,12.1,4.3232,1.7612,0.1768,31.08,OK
1-31836-A-4.wav,esc50,Opus,24.0,23.35,4.1982,2.8561,0.3018,36.19,OK
1-31836-B-4.wav,esc50,Opus,12.0,12.37,3.6761,3.5733,0.8239,32.95,OK
1-32318-A-0.wav,esc50,Opus,12.0,12.59,3.8417,2.9615,0.6583,34.66,OK
1-32373-A-35.wav,esc50,Opus,24.0,22.08,3.9045,3.1299,0.5955,35.37,OK
1-32373-B-35.wav,esc50,Opus,24.0,21.38,3.3491,3.2262,1.1509,36.04,OK
1-32579-A-29.wav,esc50,Opus,24.0,20.71,4.2614,2.8841,0.2386,39.94,OK
1-33658-A-26.wav,esc50,Opus,24.0,23.53,4.1976,2.2498,0.3024,27.89,OK
1-34094-A-5.wav,esc50,DAC,8.0,8.0,4.1602,3.2334,0.3398,16.8,OK
1-34094-B-5.wav,esc50,DAC,8.0,8.0,4.3374,2.5017,0.1626,16.84,OK
1-34119-A-1.wav,esc50,Opus,48.0,21.68,3.9785,1.8873,0.5215,16.35,OK
1-34119-B-1.wav,esc50,Opus,24.0,15.07,2.1724,6.5599,2.3276,16.76,OK
1-34495-A-14.wav,esc50,Opus,24.0,22.38,4.3224,2.8031,0.1776,33.48,OK
1-34497-A-14.wav,esc50,Opus,24.0,22.07,3.6063,3.0945,0.8937,36.11,OK
1-34853-A-37.wav,esc50,Opus,12.0,12.38,3.8786,6.7631,0.6214,33.57,OK
1-35687-A-38.wav,esc50,Opus,24.0,22.09,3.501,5.8992,0.999,35.52,OK
