codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path,codec_label,reference_preset
x265,HEVC,ReadySteadyGo,LDP,medium,crf=32,600,0,1,5.293,83.127,33.869,37.66,38.089,34.87,0.91742,0.97025,4.998,367.449,0.0,367.449,24.43,35.9,0.723,29.685,0.0,29.685,24.55,36.33,397.134,0.0,397.134,0.3971,0.662,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf32.265,x265 medium,medium
x265,HEVC,ReadySteadyGo,LDP,medium,crf=37,600,0,1,2.672,63.223,30.567,35.664,36.426,31.936,0.85599,0.93744,3.939,289.972,0.0,289.972,24.42,36.23,0.59,25.022,0.0,25.022,24.57,36.56,314.994,0.0,314.994,0.315,0.525,/home/user/tesi/bitstreams_video/x265_ReadySteadyGo_LDP_crf37.265,x265 medium,medium
x265,HEVC,ShakeNDry,LDP,medium,crf=22,300,0,1,20.017,85.649,39.394,41.134,41.835,39.916,0.95323,0.98624,4.217,338.924,0.0,338.924,24.44,36.09,0.498,17.762,0.0,17.762,24.79,36.08,356.686,0.0,356.686,0.3567,1.189,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf22.265,x265 medium,medium
x265,HEVC,ShakeNDry,LDP,medium,crf=27,300,0,1,8.134,73.761,36.811,39.09,40.355,37.539,0.92361,0.9719,2.911,219.268,0.0,219.268,24.4,36.3,0.356,12.384,0.0,12.384,24.63,36.08,231.652,0.0,231.652,0.2317,0.772,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf27.265,x265 medium,medium
x265,HEVC,ShakeNDry,LDP,medium,crf=32,300,0,1,2.784,55.928,34.013,37.47,39.246,35.099,0.8731,0.94277,1.911,139.436,0.0,139.436,24.34,36.25,0.271,9.23,0.0,9.23,24.68,36.34,148.666,0.0,148.666,0.1487,0.496,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf32.265,x265 medium,medium
x265,HEVC,ShakeNDry,LDP,medium,crf=37,300,0,1,0.817,34.911,31.15,36.284,38.354,32.692,0.79837,0.88943,1.35,94.666,0.0,94.666,24.33,36.35,0.22,7.199,0.0,7.199,24.52,36.31,101.865,0.0,101.865,0.1019,0.34,/home/user/tesi/bitstreams_video/x265_ShakeNDry_LDP_crf37.265,x265 medium,medium
x265,HEVC,YachtRide,LDP,medium,crf=22,600,0,1,31.684,90.828,39.255,42.584,41.841,39.994,0.96169,0.98714,10.669,820.862,0.0,820.862,24.42,35.83,1.5,55.571,0.0,55.571,24.56,36.31,876.433,0.0,876.433,0.8764,1.461,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf22.265,x265 medium,medium
x265,HEVC,YachtRide,LDP,medium,crf=27,600,0,1,15.185,79.409,36.147,40.725,39.871,37.185,0.93229,0.97277,8.214,602.589,0.0,602.589,24.44,36.44,1.081,42.248,0.0,42.248,24.58,36.87,644.837,0.0,644.837,0.6448,1.075,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf27.265,x265 medium,medium
x265,HEVC,YachtRide,LDP,medium,crf=32,600,0,1,6.593,61.609,33.028,39.308,38.202,34.459,0.88046,0.94241,6.078,427.943,0.0,427.943,24.47,36.51,0.789,31.93,0.0,31.93,24.65,36.59,459.873,0.0,459.873,0.4599,0.766,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf32.265,x265 medium,medium
x265,HEVC,YachtRide,LDP,medium,crf=37,600,0,1,2.453,41.537,30.02,38.26,36.85,31.904,0.80401,0.88744,4.189,289.523,0.0,289.523,24.47,36.59,0.585,24.466,0.0,24.466,24.57,35.99,313.989,0.0,313.989,0.314,0.523,/home/user/tesi/bitstreams_video/x265_YachtRide_LDP_crf37.265,x265 medium,medium
vvenc,VVC,Beauty,LDP,medium,crf=27,600,0,1,4.387,85.509,39.434,39.411,41.808,39.728,0.90809,0.97781,172.659,12525.808,0.0,12525.808,24.83,37.07,1.243,115.981,0.0,115.981,24.73,37.17,12641.789,0.0,12641.789,12.6418,21.07,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf27.266,VVenC medium,medium
vvenc,VVC,Beauty,LDP,medium,crf=33,600,0,1,1.72,75.017,38.516,39.243,41.513,38.982,0.89948,0.97242,96.007,6800.948,0.0,6800.948,24.53,37.04,1.108,99.838,0.0,99.838,24.65,36.69,6900.786,0.0,6900.786,6.9008,11.501,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf33.266,VVenC medium,medium
vvenc,VVC,Beauty,LDP,medium,crf=39,600,0,1,0.766,61.979,37.277,39.014,41.105,37.972,0.88874,0.96382,65.607,4661.573,0.0,4661.573,24.61,36.71,1.049,91.858,0.0,91.858,24.92,36.52,4753.431,0.0,4753.431,4.7534,7.922,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf39.266,VVenC medium,medium
vvenc,VVC,Beauty,LDP,medium,crf=45,600,0,1,0.306,44.04,35.358,38.649,40.556,36.419,0.87367,0.94773,43.732,3003.882,0.0,3003.882,24.65,36.94,0.979,82.414,0.0,82.414,24.63,36.14,3086.296,0.0,3086.296,3.0863,5.144,/dev/shm/bitstreams/vvenc_Beauty_LDP_crf45.266,VVenC medium,medium
vvenc,VVC,Bosphorus,LDP,medium,crf=27,600,0,1,7.72,92.778,43.79,49.147,48.204,45.011,0.97914,0.99376,186.97,12086.455,0.0,12086.455,24.64,37.17,1.425,127.187,0.0,127.187,24.77,36.86,12213.642,0.0,12213.642,12.2136,20.356,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf27.266,VVenC medium,medium
vvenc,VVC,Bosphorus,LDP,medium,crf=33,600,0,1,2.979,86.608,41.187,47.625,46.832,42.697,0.96643,0.98823,120.681,7385.062,0.0,7385.062,24.59,36.79,1.17,104.487,0.0,104.487,24.53,36.9,7489.549,0.0,7489.549,7.4895,12.483,/dev/shm/bitstreams/vvenc_Bosphorus_LDP_crf33.266,VVenC medium,medium
