codec,family,seq,profile,preset,param,n_frames,is_neural,is_round_trip,actual_mbps,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,time_encode_s,energy_encode_cpu_j,energy_encode_gpu_j,energy_encode_total_j,idle_cpu_w_encode,idle_gpu_w_encode,time_decode_s,energy_decode_cpu_j,energy_decode_gpu_j,energy_decode_total_j,idle_cpu_w_decode,idle_gpu_w_decode,energy_total_cpu_j,energy_total_gpu_j,energy_total_j,energy_total_kj,energy_per_frame_j,bitstream_path
dcvc_rt,DCVC-RT (forward),HoneyBee,LDP,,q=0,600,1,0,0.124,54.32,34.794,36.026,39.468,35.532,0.91026,0.95815,32.514,749.086,8661.572,9410.658,22.52,57.92,,,,,,,749.086,8661.572,9410.658,9.4107,15.684,
dcvc_rt,DCVC-RT (forward),HoneyBee,LDP,,q=21,600,1,0,0.313,82.39,39.865,40.608,42.153,40.244,0.9549,0.9866,32.335,705.62,8750.956,9456.576,22.95,55.28,,,,,,,705.62,8750.956,9456.576,9.4566,15.761,
dcvc_rt,DCVC-RT (forward),HoneyBee,LDP,,q=42,600,1,0,0.893,91.394,42.268,43.385,43.76,42.594,0.96685,0.99251,32.316,721.318,8896.476,9617.794,22.53,52.74,,,,,,,721.318,8896.476,9617.794,9.6178,16.03,
dcvc_rt,DCVC-RT (forward),HoneyBee,LDP,,q=63,600,1,0,2.959,93.676,43.159,44.585,44.526,43.508,0.97037,0.99398,32.288,694.488,8619.993,9314.481,23.42,61.14,,,,,,,694.488,8619.993,9314.481,9.3145,15.524,
dcvc_rt,DCVC-RT (forward),Jockey,LDP,,q=0,600,1,0,0.349,38.658,31.565,37.736,37.192,33.04,0.88668,0.89475,32.604,737.019,8681.689,9418.708,22.96,58.41,,,,,,,737.019,8681.689,9418.708,9.4187,15.698,
dcvc_rt,DCVC-RT (forward),Jockey,LDP,,q=21,600,1,0,1.044,61.129,36.007,41.02,40.631,37.212,0.92066,0.94517,32.291,737.786,8892.359,9630.145,22.02,52.41,,,,,,,737.786,8892.359,9630.145,9.6301,16.05,
dcvc_rt,DCVC-RT (forward),Jockey,LDP,,q=42,600,1,0,3.328,85.525,40.014,43.31,42.983,40.797,0.94699,0.9775,32.249,750.543,9014.948,9765.491,21.67,48.75,,,,,,,750.543,9014.948,9765.491,9.7655,16.276,
dcvc_rt,DCVC-RT (forward),Jockey,LDP,,q=63,600,1,0,10.569,96.463,42.755,44.965,44.492,43.248,0.96239,0.98937,32.27,701.15,8591.131,9292.281,23.32,61.32,,,,,,,701.15,8591.131,9292.281,9.2923,15.487,
dcvc_rt,DCVC-RT (forward),ReadySteadyGo,LDP,,q=0,600,1,0,0.555,43.984,27.63,36.912,37.046,29.968,0.79452,0.87651,32.545,736.162,8685.318,9421.48,23.14,58.93,,,,,,,736.162,8685.318,9421.48,9.4215,15.702,
dcvc_rt,DCVC-RT (forward),ReadySteadyGo,LDP,,q=21,600,1,0,2.012,76.059,32.796,40.46,40.178,34.677,0.89995,0.95781,32.182,756.69,8883.62,9640.31,22.11,52.12,,,,,,,756.69,8883.62,9640.31,9.6403,16.067,
dcvc_rt,DCVC-RT (forward),ReadySteadyGo,LDP,,q=42,600,1,0,6.572,96.951,37.684,43.372,42.597,39.009,0.95731,0.98665,32.259,728.678,8990.101,9718.779,22.6,49.24,,,,,,,728.678,8990.101,9718.779,9.7188,16.198,
dcvc_rt,DCVC-RT (forward),ReadySteadyGo,LDP,,q=63,600,1,0,20.345,99.934,41.988,45.6,44.552,42.76,0.97991,0.99513,32.319,685.925,8639.225,9325.15,23.81,60.6,,,,,,,685.925,8639.225,9325.15,9.3251,15.542,
dcvc_rt,DCVC-RT (forward),ShakeNDry,LDP,,q=0,300,1,0,0.254,34.755,30.978,38.726,39.944,33.067,0.80545,0.88827,16.379,284.746,4338.815,4623.561,28.54,58.56,,,,,,,284.746,4338.815,4623.561,4.6236,15.412,
dcvc_rt,DCVC-RT (forward),ShakeNDry,LDP,,q=21,300,1,0,0.818,59.684,34.386,41.122,41.766,36.15,0.88607,0.9414,16.146,327.569,3944.197,4271.766,25.02,81.86,,,,,,,327.569,3944.197,4271.766,4.2718,14.239,
dcvc_rt,DCVC-RT (forward),ShakeNDry,LDP,,q=42,300,1,0,3.782,77.192,37.333,42.856,43.084,38.742,0.92976,0.9718,16.165,321.444,3974.551,4295.995,25.11,81.92,,,,,,,321.444,3974.551,4295.995,4.296,14.32,
dcvc_rt,DCVC-RT (forward),ShakeNDry,LDP,,q=63,300,1,0,18.02,90.389,41.042,44.068,44.027,41.793,0.96555,0.99046,16.169,324.134,3992.595,4316.729,25.14,82.03,,,,,,,324.134,3992.595,4316.729,4.3167,14.389,
dcvc_rt,DCVC-RT (forward),YachtRide,LDP,,q=0,600,1,0,0.269,29.096,27.98,40.403,38.762,30.88,0.75443,0.81783,32.483,683.738,7884.115,8567.853,25.02,81.81,,,,,,,683.738,7884.115,8567.853,8.5679,14.28,
dcvc_rt,DCVC-RT (forward),YachtRide,LDP,,q=21,600,1,0,1.676,53.972,31.803,43.175,41.821,34.477,0.85431,0.9207,32.309,692.554,8497.193,9189.747,23.63,63.97,,,,,,,692.554,8497.193,9189.747,9.1897,15.316,
dcvc_rt,DCVC-RT (forward),YachtRide,LDP,,q=42,600,1,0,7.777,80.564,36.388,45.518,44.269,38.514,0.93578,0.97321,32.216,711.736,8651.327,9363.063,23.36,59.76,,,,,,,711.736,8651.327,9363.063,9.3631,15.605,
dcvc_rt,DCVC-RT (forward),YachtRide,LDP,,q=63,600,1,0,26.528,95.575,41.36,47.394,46.14,42.712,0.97394,0.99158,32.209,725.445,8761.82,9487.265,22.84,56.14,,,,,,,725.445,8761.82,9487.265,9.4873,15.812,
dcvc_rt_cuda,DCVC-RT (CUDA),Beauty,LDP,,q=0,600,1,1,0.15,31.227,33.693,38.72,39.799,35.084,0.86031,0.93044,19.434,395.741,2686.448,3082.189,26.12,81.29,6.847,122.863,3131.073,3253.936,25.2,80.9,518.604,5817.521,6336.125,6.3361,10.56,
