codec,seq,profile,preset,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
svtav1,ShakeNDry,RA,p5,crf=43,encode,300,2.754,233.153,0.0,233.153,24.38,36.2,6.605,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_RA_crf43.ivf
svtav1,ShakeNDry,RA,p5,crf=43,decode,300,0.233,5.831,0.0,5.831,24.52,36.37,6.605,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_RA_crf43.ivf
svtav1,ShakeNDry,RA,p5,crf=51,encode,300,3.16,271.368,0.0,271.368,24.42,36.25,3.366,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_RA_crf51.ivf
svtav1,ShakeNDry,RA,p5,crf=51,decode,300,0.2,4.818,0.0,4.818,24.72,36.31,3.366,/home/user/tesi/bitstreams_video/svtav1_ShakeNDry_RA_crf51.ivf
svtav1,YachtRide,LDP,p5,crf=27,encode,600,20.235,867.701,0.0,867.701,24.26,36.54,65.314,/home/user/tesi/bitstreams_video/svtav1_YachtRide_LDP_crf27.ivf
svtav1,YachtRide,LDP,p5,crf=27,decode,600,1.179,54.67,0.0,54.67,24.4,36.28,65.314,/home/user/tesi/bitstreams_video/svtav1_YachtRide_LDP_crf27.ivf
svtav1,YachtRide,LDP,p5,crf=35,encode,600,28.963,1322.529,0.0,1322.529,24.48,36.47,36.853,/home/user/tesi/bitstreams_video/svtav1_YachtRide_LDP_crf35.ivf
svtav1,YachtRide,LDP,p5,crf=35,decode,600,0.886,42.988,0.0,42.988,24.29,36.88,36.853,/home/user/tesi/bitstreams_video/svtav1_YachtRide_LDP_crf35.ivf
svtav1,YachtRide,LDP,p5,crf=43,encode,600,28.216,1296.854,0.0,1296.854,24.38,37.05,18.792,/home/user/tesi/bitstreams_video/svtav1_YachtRide_LDP_crf43.ivf
svtav1,YachtRide,LDP,p5,crf=43,decode,600,0.655,31.364,0.0,31.364,24.52,36.41,18.792,/home/user/tesi/bitstreams_video/svtav1_YachtRide_LDP_crf43.ivf
svtav1,YachtRide,LDP,p5,crf=51,encode,600,30.573,1401.382,0.0,1401.382,24.36,36.36,8.704,/home/user/tesi/bitstreams_video/svtav1_YachtRide_LDP_crf51.ivf
svtav1,YachtRide,LDP,p5,crf=51,decode,600,0.508,24.012,0.0,24.012,24.42,36.24,8.704,/home/user/tesi/bitstreams_video/svtav1_YachtRide_LDP_crf51.ivf
svtav1,YachtRide,RA,p5,crf=27,encode,600,7.639,713.443,0.0,713.443,24.52,36.14,41.013,/home/user/tesi/bitstreams_video/svtav1_YachtRide_RA_crf27.ivf
svtav1,YachtRide,RA,p5,crf=27,decode,600,1.116,45.655,0.0,45.655,24.55,36.69,41.013,/home/user/tesi/bitstreams_video/svtav1_YachtRide_RA_crf27.ivf
svtav1,YachtRide,RA,p5,crf=35,encode,600,7.757,726.947,0.0,726.947,24.51,35.88,23.002,/home/user/tesi/bitstreams_video/svtav1_YachtRide_RA_crf35.ivf
svtav1,YachtRide,RA,p5,crf=35,decode,600,0.795,34.796,0.0,34.796,24.57,36.41,23.002,/home/user/tesi/bitstreams_video/svtav1_YachtRide_RA_crf35.ivf
svtav1,YachtRide,RA,p5,crf=43,encode,600,7.483,711.454,0.0,711.454,24.41,36.01,12.146,/home/user/tesi/bitstreams_video/svtav1_YachtRide_RA_crf43.ivf
svtav1,YachtRide,RA,p5,crf=43,decode,600,0.577,25.126,0.0,25.126,24.53,36.6,12.146,/home/user/tesi/bitstreams_video/svtav1_YachtRide_RA_crf43.ivf
svtav1,YachtRide,RA,p5,crf=51,encode,600,8.504,794.678,0.0,794.678,24.93,36.77,6.539,/home/user/tesi/bitstreams_video/svtav1_YachtRide_RA_crf51.ivf
svtav1,YachtRide,RA,p5,crf=51,decode,600,0.492,20.394,0.0,20.394,24.67,36.7,6.539,/home/user/tesi/bitstreams_video/svtav1_YachtRide_RA_crf51.ivf
svtav1,Beauty,LDP,p2,crf=35,encode,600,109.118,6510.919,0.0,6510.919,20.33,36.88,9.874,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p2_crf35.ivf
svtav1,Beauty,LDP,p2,crf=35,decode,600,0.579,30.44,0.0,30.44,20.3,37.44,9.874,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p2_crf35.ivf
svtav1,Beauty,LDP,p2,crf=43,encode,600,75.723,4223.58,0.0,4223.58,20.16,36.86,3.329,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p2_crf43.ivf
svtav1,Beauty,LDP,p2,crf=43,decode,600,0.318,18.843,0.0,18.843,20.31,37.57,3.329,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p2_crf43.ivf
svtav1,Beauty,LDP,p2,crf=51,encode,600,71.832,3734.979,0.0,3734.979,20.2,37.27,1.694,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p2_crf51.ivf
