codec_a,codec_b,seq,bd_rate,bd_rate_valid,bd_rate_e,bd_rate_e_valid,bd_rate_e_bins,bd_volume,bd_volume_valid,overlap_d,overlap_e_dec,pareto_hv,pareto_hv_valid,epsilon,epsilon_valid
dcvc_fm,dcvc_rt_cuda,Bosphorus,9.806208083968237,True,,False,0,,False,0,0,0.9698477943901795,True,0.14208618874192064,True
dcvc_fm,svtav1,Bosphorus,97.40397684466858,True,,False,0,,False,0,0,0.9766232323832281,True,0.5532565788290961,True
dcvc_fm,vvenc,Bosphorus,-6.600602518524823,True,,False,0,,False,0,0,0.9754079424192593,True,0.3123974297971803,True
dcvc_fm,x264,Bosphorus,444.5878086773978,True,,False,0,,False,0,0,0.9785840513903198,True,0.505535840192379,True
dcvc_fm,x265,Bosphorus,191.21621633450795,True,,False,0,,False,0,0,0.981693545504513,True,0.3903530615087641,True
dcvc_rt,dcvc_dc,Bosphorus,19.88668668836253,True,,False,0,,False,0,0,-0.9851983961329498,True,0.448735384996888,True
dcvc_rt,dcvc_fm,Bosphorus,-8.04691678811469,True,,False,0,,False,0,0,-0.9655751831084373,True,0.31307987383344893,True
dcvc_rt,dcvc_rt_cuda,Bosphorus,0.9551500980094163,True,,False,0,,False,0,0,0.12411427765036344,True,0.0036146395356187466,True
dcvc_rt,svtav1,Bosphorus,87.23626330694587,True,,False,0,,False,0,0,0.3209326954328325,True,0.4611252378555087,True
dcvc_rt,vvenc,Bosphorus,-12.721152884440079,True,,False,0,,False,0,0,0.2856299669449238,True,0.22026608882359294,True
dcvc_rt,x264,Bosphorus,400.48647395502195,True,,False,0,,False,0,0,0.37789215619824956,True,0.4134044992187916,True
dcvc_rt,x265,Bosphorus,163.7438308044221,True,,False,0,,False,0,0,0.4682192630638589,True,0.2982217205351767,True
dcvc_rt_cuda,dcvc_dc,Bosphorus,19.86641107472906,True,,False,0,,False,0,0,-0.9870354865049755,True,0.44512074546126923,True
dcvc_rt_cuda,dcvc_fm,Bosphorus,-8.930467826071798,True,,False,0,,False,0,0,-0.9698477943901795,True,0.35540732371880157,True
dcvc_rt_cuda,dcvc_rt,Bosphorus,-0.9461132959359908,True,,False,0,,False,0,0,-0.12411427765036344,True,0.048763544532284375,True
dcvc_rt_cuda,svtav1,Bosphorus,87.3396057779696,True,,False,0,,False,0,0,0.2247078731395315,True,0.45751059831988994,True
dcvc_rt_cuda,vvenc,Bosphorus,-12.88811607733036,True,,False,0,,False,0,0,0.18440269680533333,True,0.2166514492879742,True
dcvc_rt_cuda,x264,Bosphorus,394.8900921025651,True,,False,0,,False,0,0,0.2897385721359926,True,0.40978985968317283,True
dcvc_rt_cuda,x265,Bosphorus,161.46234163169316,True,,False,0,,False,0,0,0.39286516109704944,True,0.29460708099955796,True
svtav1,dcvc_dc,Bosphorus,-39.64039177621858,True,,False,0,,False,0,0,-0.9899487147587313,True,0.7163257966441545,True
svtav1,dcvc_fm,Bosphorus,-49.342459256184554,True,,False,0,,False,0,0,-0.9766232323832281,True,0.7112777063855593,True
svtav1,dcvc_rt,Bosphorus,-46.59154256028655,True,,False,0,,False,0,0,-0.3209326954328325,True,0.4000236504850477,True
svtav1,dcvc_rt_cuda,Bosphorus,-46.62100436011507,True,,False,0,,False,0,0,-0.2247078731395315,True,0.3558703826667578,True
svtav1,vvenc,Bosphorus,-53.58098549589978,True,,False,0,,False,0,0,-0.04941798627377036,True,0.30597497393921214,True
svtav1,x264,Bosphorus,100.82373617270228,True,,False,0,,False,0,0,0.08387896219171181,True,0.1800725814620987,True
svtav1,x265,Bosphorus,25.32030468645332,True,,False,0,,False,0,0,0.21689538966230423,True,0.11919834300883925,True
vvenc,dcvc_dc,Bosphorus,35.04485313501957,True,,False,0,,False,0,0,-0.9894261777562272,True,0.4633862614631261,True
vvenc,dcvc_fm,Bosphorus,7.067071840408801,True,,False,0,,False,0,0,-0.9754079424192593,True,0.458338171204531,True
vvenc,dcvc_rt,Bosphorus,14.575298946830584,True,,False,0,,False,0,0,-0.2856299669449238,True,0.15240765815953544,True
vvenc,dcvc_rt_cuda,Bosphorus,14.794899957359785,True,,False,0,,False,0,0,-0.18440269680533333,True,0.15253939217243312,True
vvenc,svtav1,Bosphorus,115.42895959406235,True,,False,0,,False,0,0,0.04941798627377036,True,0.24085914903191574,True
vvenc,x264,Bosphorus,375.41040401535366,True,,False,0,,False,0,0,0.12915181906323406,True,0.2979505806706495,True
vvenc,x265,Bosphorus,185.98672338655985,True,,False,0,,False,0,0,0.2555948425468988,True,0.2443606035040471,True
x264,dcvc_dc,Bosphorus,-70.49605416232134,True,,False,0,,False,0,0,-0.9907918061334617,True,0.9926691194582827,True
x264,dcvc_fm,Bosphorus,-81.63748831563767,True,,False,0,,False,0,0,-0.9785840513903198,True,0.9876210291996876,True
x264,dcvc_rt,Bosphorus,-80.01944004405065,True,,False,0,,False,0,0,-0.37789215619824956,True,0.6759843769435085,True
